,Unnamed: 0,date,bull score,bear score
625,625,2019-04-04,0.157894737,0.078947368
626,626,2019-04-05,0.142857143,0.0
627,627,2019-04-06,0.125,0.125
628,628,2019-04-07,0.086956522,0.130434783
629,629,2019-04-08,0.054054054,0.108108108
630,630,2019-04-09,0.054054054,0.108108108
631,631,2019-04-10,0.171428571,0.114285714
632,632,2019-04-11,0.131578947,0.105263158
633,633,2019-04-12,0.128205128,0.102564103
634,634,2019-04-13,0.090909091,0.045454545
635,635,2019-04-14,0.037037037,0.074074074
636,636,2019-04-15,0.076923077,0.205128205
637,637,2019-04-16,0.095238095,0.142857143
638,638,2019-04-17,0.135135135,0.162162162
639,639,2019-04-18,0.0,0.107142857
640,640,2019-04-19,0.148148148,0.074074074
641,641,2019-04-20,0.0,0.066666667
642,642,2019-04-21,0.052631579,0.210526316
643,643,2019-04-22,0.193548387,0.064516129
644,644,2019-04-23,0.162162162,0.108108108
645,645,2019-04-24,0.120689655,0.189655172
646,646,2019-04-25,0.109090909,0.072727273
647,647,2019-04-26,0.153846154,0.025641026
648,648,2019-04-27,0.0,0.0
649,649,2019-04-28,0.176470588,0.058823529
650,650,2019-04-29,0.025641026,0.128205128
651,651,2019-04-30,0.133333333,0.133333333
652,652,2019-05-01,0.095238095,0.047619048
653,653,2019-05-02,0.170212766,0.085106383
654,654,2019-05-03,0.153846154,0.076923077
655,655,2019-05-04,0.15,0.1
656,656,2019-05-05,0.027777778,0.138888889
657,657,2019-05-06,0.12244898,0.102040816
658,658,2019-05-07,0.130434783,0.043478261
